#,Channel Name
1,Singkong Gold
2,ANTV
3,Jak TV
4,Daystar TV
5,tvOne
6,Singkong Kids
7,Metro TV
8,BTV
9,SCTV
10,Indosiar
11,Garuda TV
12,MDTV
14,SMJ / Singkong Musik Jepang
15,Singkong TV
16,Kompas TV
17,TVRI Nasional
19,BeritaSatu
21,Reformed 21
22,Singkong Merah (红木薯)
23,Singkong Pink (ピンクキャッサバ)
24,KyassabaGaku
26,Moji
27,DAAI TV
28,Nusantara TV
29,EWTN
30,Rima Oktaviana TV
31,TV9 Nusantara
32,jawaposTV
33,Balaikota Channel
34,RTV
35,Trans TV
36,Trans7
38,Magna Channel
39,Singkong Drama
43,Singkong Movie
44,Elshinta TV
45,JTV
46,SEA Today
49,SMI / Singkong Musik Indonesia
50,GGS TV
51,YTV
52,Treehouse TV
53,GTV
