Code,Name,Replaced with,
AA,Private Use,,
AC,Accola Play,,
AG,アンジュルム,,
AH,Amaris Hotel,,
AK,AKB48,,
AN,ANTV,,
AQ,Aqua,,
AS,Ayane Sakura,,
BB,Bloomberg,,
BC,BCA,,
BE,ベリーズ工房,BK,
BK,ベリーズ工房,,
BL,Bloomberg,BB,
BM,BABYMONSTER,,
BP,BLACKPINK,,
BS,BeritaSatu,,
BT,BTS,,
BY,BEYOOOOONDS,,
CC,Coca-Cola,,
CF,CFC,,
CG,カントリー・ガールズ,,
CU,キュート,,
DB,Danz Base,,
DK,Dua Kelinci,,
DU,Daytona USA,,
FA,FamilyMart,,
FL,Floridina,,
FM,First Media,,
FT,Fruit Tea,,
FX,Fairfax HD,,
GD,Good Day,,
GG,Google,,
GI,Garuda Indonesia,,
HN,Honda,,
HT,Haruka Tomatsu,,
IF,Indofood,,
IH,Indihome,,
IN,iNews,,
IX,IDX Channel,,
JJ,Juice=Juice,,
JZ,JetZ,,
KA,KAI,,
KC,KFC,,
KF,こぶしファクトリー,,
KG,Kagome,,
KK,KreativeKorp,,
KV,KV Lifts,,
LG,LG,,
LM,Le Minerale,,
MC,MasterCard,,
MK,Mario Kart,,
MM,モーニング娘。,,
MM2,モーニング娘。'14~'25,,
MO,Moji,,
MP,Motu Patlu,,
MS,Mie Sedaap,,
MT,Metro TV,,
NS,Nissan,,
NT,Nusantara TV,,
OC,OCHA NORMA,,
ON,OCHA NORMA,OC,
OO,Escape Code,,
OT,OT,,
PC,PassCode,,
PE,Prima Entertainment (now SinemArt),,
PH,Pizza Hut,,
PO,Polytron,,
PS,PlayStation,,
PT,Pertamina,,
PY,PSY,,
QA,タピオカ娘。,,
QB,Multivision Plus,,
QC,Quick Chicken,,
QM,Private Use,,
QN,Private Use,,
QO,Private Use,,
QP,Private Use,,,
QQ,Private Use,,
QR,Private Use,,
QS,Private Use,,
QT,Private Use,,,
QU,QWER,QW,,
QW,QWER,,
RA,RAI Italia,,
RB,Red Bull,,
RC,Rocket Chicken,,
RI,TVRI,,
RS,ロージークロニクル,,
RT,Russia Today,,
SA,Samsung,,
SC,SCTV,,
SI,Seputar Indonesia (now Seputar iNews),,
SK,So Klin,,
SL,Slai O'lai,,
SM,スマイレージ (now アンジュルム),,
SO,Sosro,,
SS,SSÛRAKI,,
ST,STAYC,,
TA,Tolak Angin,,
TB,TBH,,
TE,Telkomsel,,
TF,つばきファクトリー,,
TG,Teh Gopek,,
TK,Teh Kotak,,
TM,Teh Pucuk Harum,,
TO,TOP Coffee,,
TP,Toki Pona,,
TS,Toshiba,,
TT,Tamagotchi,,
UF,UP-FRONT,,
UJ,Ultra Jaya,,
VI,Vit,,
VR,Virtual Racing,,
WE,QWER,QW,
WR,QWER,QW,
XA,Private Use,,
XB,Private Use,,
XC,Private Use,,
XD,Private Use,,
XE,Private Use,,
XF,Private Use,,
XG,Private Use,,
XH,Private Use,,
XI,Private Use,,
XJ,Private Use,,
XK,Private Use,,
XL,XL,,
XM,Private Use,,
XN,Private Use,,
XO,Private Use,,
XP,Private Use,,
XQ,Private Use,,
XR,Private Use,,
XS,Private Use,,
XT,Private Use,,
XU,Private Use,,
XV,Private Use,,
XW,Private Use,,
XX,Private Use,,
XY,Private Use,,
XZ,Private Use,,
ZZ,Unknown,,
