Channel Number,Channel Name
1,BTV
2,BeritaSatu
3,First Lifestyle
5,MDTV
7,Metro TV
10,SCTV
11,IVM
13,ANTV
14,tvOne
15,Kompas TV
16,TVRI1
17,JTV SBY
19,Jakarta Globe News Ch.
21,Reformed 21
23,Kairos
24,SPH Channel
25,LIMA / Liga Mahasiswa
26,MOJI
27,DAAI TV
29,EWTN
30,Karaoke Channel
33,Balai Kota Jakarta
34,Balai Kota Bandung
35,RTV
37,Sindonews TV
44,TV9 Nusantara
45,Garuda TV
47,Quran TV
48,Sunnah TV
50,West Java Network
51,AXN
52,Animax
53,GTV
57,ROCK Action
60,Euronews
61,TBN Asia
62,JAK-TV
65,iNews
72,TLC
76,AFN
81,Fashion TV
85,First Faith
86,GMS Channel
101,Discovery
105,Animal Planet
124,Nick Jr
125,Nick
127,Cartoon Network
139,SPOTV
140,SPOTV 2
141,Champions TV 1
142,Champions TV 2
143,Champions TV 3
145,First Football / SCTV
151,Eurosport
160,Star Gold
161,Zee Bioskop
171,Star Plus
172,Zee TV
173,Sony Ent. TV
174,Sony MAX
175,Zee Cinema
176,WION
177,Zee Bollywood
178,Zee Action
179,Zing
201,TVB Xing He
202,Phoenix InfoNews
203,Phoenix Chinese Ch.
204,Celestial Movies
205,ONE
206,Xing Kong
208,Zhejiang TV
209,CCTV 4
210,CGTN
211,TVBS Asia
212,TVBS News
214,Hunan TV
215,Dragon TV
216,Jiangsu TV
217,Anhui TV
218,Shenzen TV
220,MTV 90s
224,HITS NOW
233,DW
234,Arirang TV
235,BBC News
236,CNNI
237,FOX News
238,RT
239,Bloomberg TV
240,TRT World
241,CNBC Asia
242,CNA
243,Al Jazeera EN
244,KBS World
245,Al Jazeera AR
246,France 24 EN
247,NHK World Premium
251,ABC Australia
254,Hello! Project Station
258,RAI Italia
260,TV5 Monde Asie
283,Warner TV
285,HBO
286,HBO Signature
287,HBO Hits
288,HBO Family
290,Cinemax
300,First Atmos HD
301,First Highlights HD
302,Jakarta Globe News Ch. HD
303,First Lifestyle HD
305,HBO HD
306,HBO Hits HD
307,HBO Family HD
308,HBO Signature HD
310,Cinemax HD
311,Celestial Movies HD
312,ROCK Action HD
313,Warner TV HD
318,Eurosport HD
321,Champions TV 1 HD
322,Champions TV 2 HD
323,Champions TV 3 HD
324,HITS NOW HD
325,HITS Movies HD
326,HITS HD
327,First Football / SCTV HD
329,SPOTV HD
330,SPOTV 2 HD
332,AXN HD
335,ROCK Ent. HD
336,KIX HD
337,CinemaWorld HD
338,ONE HD
339,tvN HD
340,Hello! Project Station HD
341,NHK World Japan HD
342,Animax HD
343,tvN Movies HD
347,DMAX HD
349,Crime Investigation HD
350,TV5 Monde Asie HD
351,AFN HD
353,TLC HD
354,HGTV HD
355,Food Network HD
356,MTV 90s HD
358,MTV Live HD
359,Lifetime HD
360,Discovery HD
364,Discovery Asia HD
365,History HD
366,Global Trekker HD
368,Love Nature HD
369,Animal Planet HD
370,Cartoon Network HD
372,Cartoonito HD
373,Kartoon Channel HD
374,Dreamworks HD
375,Horee! HD
376,Citra Bioskop HD
377,Citra Dangdut HD
378,Citra Drama HD
379,Citra Ent. HD
380,IMC HD
381,Galaxy HD
382,Galaxy Premium HD
385,First Faith HD
389,GMS Channel HD
391,Reformed 21 HD
393,DW HD
394,Arirang TV HD
395,BBC News HD
396,CNNI HD
397,FOX News HD
398,RT HD
399,Bloomberg TV HD
400,TRT World HD
402,CNA HD
403,Al Jazeera EN HD
404,KBS World HD
405,CGTN Documentary HD
410,Citra Muslim HD
411,MDTV HD
412,Metro TV HD
413,SCTV HD
414,IVM HD
415,IDX Channel HD
416,SEA Today HD
417,Kompas TV HD
418,BTV HD
419,BeritaSatu / IDTV HD
510,Catchplay - Preview
601,Trijaya FM
602,Delta FM
603,Radio Sonora
605,VOA
606,BBC World Service
607,Radio Australia
700,Love Nature UHD
900,First Highlights
999,First Warriors HD
