Number,Name,???,???,???,???,???
1,BTV,,,,,
2,BeritaSatu / IDTV,,,,,
3,ANTV,,,,,
4,Nusantara TV / RIR TV,,,,,
5,TVOne,,,,,
6,Magna Channel,,,,,
7,Trans TV,,,,,
8,UP-FRONT CHANNEL,,,,,
9,SCTV,,,,,
10,PassCode,,,,,
11,MaiMai,,,,,
12,MDTV / NET.,,,,,
13,Indonesiana TV,,,,,
14,Korean Elevator Channel,,,,,
15,Metro TV,,,,,
16,Kompas TV,,,,,
17,JTV,,,,,
18,OMAKE CHANNEL,,,,,
19,TVRI1,,,,,
20,Elevator Satellite,,,,,
21,ANGERME,,,,,
22,RTV,,,,,
23,Elevator Info,,,,,
24,ANTARA TV,,,,,
25,JAK-TV,,,,,
26,MOJI,,,,,
27,TV Edukasi,,,,,
28,Morning Musume,,,,,
29,iNews,,,,,
30,Zee Bioskop,,,,,
31,Jum'at TV,,,,,
32,Ryurey TV,,,,,
33,GTV,,,,,
34,MYTV,,,,,
35,Trans 7,,,,,
36,BN Channel,,,,,
37,Sindonews TV,,,,,
38,Al Jazzera EN,,,,,
39,VTV,,,,,
40,Tokyo Skytree,,,,,
41,Rodja TV,,,,,
42,DAAI TV,,,,,
43,IVM,,,,,
44,TV9 Nusantara,,,,,
45,Garuda TV,,,,,
