Number,Name,Group
77,心花木薯,EM113 Girls
93,TG635 Corporation,TG635 Group
94,TG635 Entertainment,TG635 Group
95,TG635 Media,TG635 Group
96,TG635 Software,TG635 Group
97,CSUR,Evertype
98,UCSUR,Kreative
99,モーニング娘。,HELLO! PROJECT
100,モーニング娘。'14~'26,HELLO! PROJECT
101,ベリーズ工房,HELLO! PROJECT
102,°C-ute,HELLO! PROJECT
103,アンジュルム (formerly スマイレージ),HELLO! PROJECT
104,ジュースジュース,HELLO! PROJECT
105,カントリー・ガールズ,HELLO! PROJECT
106,こぶしファクトリー,HELLO! PROJECT
107,つばきファクトリー,HELLO! PROJECT
108,ビヨーンズ,HELLO! PROJECT
109,オチャノーマ,HELLO! PROJECT
110,ロジークロニクル,HELLO! PROJECT
111,タピオカ娘。,HELLO! PROJECT
112,ハロプロ研修生,HELLO! PROJECT
800,TVRI Nasional,TVRI
801,TVRI Daerah,TVRI
802,TVRI World,TVRI
803,TVRI Sport,TVRI
804,RCTI,MNC Media
805,MNCTV,MNC Media
806,GTV,MNC Media
807,iNews,MNC Media
808,SCTV,Emtek
809,Indosiar,Emtek
810,O Channel,Emtek
811,Mentari TV,Emtek
812,ANTV,Visi Media Asia
813,tvOne,Visi Media Asia
814,VTV,Visi Media Asia
816,Metro TV,Media Group
817,Magna Channel,Media Group
818,BN Channel,Media Group
820,Trans7,Trans Media
821,Trans TV,Trans Media
822,CNN Indonesia,Trans Media
823,CNBC Indonesia,Trans Media
824,Kompas TV,KG Media
825,RTV,Rajawali Corpora
826,Nusantara TV,NT Corp
828,BTV,B Universe
829,Garuda TV,Digdaya Media Nusantara
830,Sin Po TV,Sin Po Media
831,MDTV,MD Entertainment
