F3700	POYUNESE CAPITAL IDEOGRAPH-00
F3701	POYUNESE CAPITAL IDEOGRAPH-01
F3702	POYUNESE CAPITAL IDEOGRAPH-02
F3703	POYUNESE CAPITAL IDEOGRAPH-03
F3704	POYUNESE CAPITAL IDEOGRAPH-04
F3705	POYUNESE CAPITAL IDEOGRAPH-05
F3706	POYUNESE CAPITAL IDEOGRAPH-06
F3707	POYUNESE CAPITAL IDEOGRAPH-07
F3708	POYUNESE CAPITAL IDEOGRAPH-08
F3709	POYUNESE CAPITAL IDEOGRAPH-09
F370A	POYUNESE CAPITAL IDEOGRAPH-0A
F370B	POYUNESE CAPITAL IDEOGRAPH-0B
F370C	POYUNESE CAPITAL IDEOGRAPH-0C
F370D	POYUNESE CAPITAL IDEOGRAPH-0D
F370E	POYUNESE CAPITAL IDEOGRAPH-0E
F370F	POYUNESE CAPITAL IDEOGRAPH-0F
F3710	POYUNESE CAPITAL IDEOGRAPH-10
F3711	POYUNESE CAPITAL IDEOGRAPH-11
F3712	POYUNESE CAPITAL IDEOGRAPH-12
F3713	POYUNESE CAPITAL IDEOGRAPH-13
F3714	POYUNESE CAPITAL IDEOGRAPH-14
F3715	POYUNESE CAPITAL IDEOGRAPH-15
F3716	POYUNESE CAPITAL IDEOGRAPH-16
F3717	POYUNESE CAPITAL IDEOGRAPH-17
F3718	POYUNESE CAPITAL IDEOGRAPH-18
F3719	POYUNESE CAPITAL IDEOGRAPH-19
F371A	POYUNESE CAPITAL IDEOGRAPH-1A
F371B	POYUNESE CAPITAL IDEOGRAPH-1B
F371C	POYUNESE CAPITAL IDEOGRAPH-1C
F371D	POYUNESE CAPITAL IDEOGRAPH-1D
F371E	POYUNESE CAPITAL IDEOGRAPH-1E
F371F	POYUNESE CAPITAL IDEOGRAPH-1F
F3720	POYUNESE CAPITAL IDEOGRAPH-20
F3721	POYUNESE CAPITAL IDEOGRAPH-21
F3722	POYUNESE CAPITAL IDEOGRAPH-22
F3723	POYUNESE CAPITAL IDEOGRAPH-23
F3724	POYUNESE CAPITAL IDEOGRAPH-24
F3725	POYUNESE CAPITAL IDEOGRAPH-25
